context_id,context_text,question,answer_text,answer_start,q_type,split
ctx_overview,"Malaria is a life-threatening disease spread to humans by some types of mosquitoes. It is mostly found in tropical countries. It is preventable and curable. The infection is caused by a parasite and does not spread from person to person. Symptoms can be mild or life-threatening. Mild symptoms are fever, chills and headache. Severe symptoms include fatigue, confusion, seizures, and difficulty breathing. Infants, children under 5 years, pregnant women and girls, travellers and people with HIV or AIDS are at higher risk of severe infection. Malaria can be prevented by avoiding mosquito bites and with medicines. Treatments can stop mild cases from getting worse. Malaria mostly spreads to people through the bites of some infected female Anopheles mosquitoes. Blood transfusion and contaminated needles may also transmit malaria. The first symptoms may be mild, similar to many febrile illnesses, and difficulty to recognize as malaria. Left untreated, P. falciparum malaria can progress to severe illness and death within 24 hours. There are 5 Plasmodium parasite species that cause malaria in humans and 2 of these species - P. falciparum and P. vivax - pose the greatest threat. P. falciparum is the deadliest malaria parasite and the most prevalent on the African continent. P. vivax is the dominant malaria parasite in most countries outside of sub-Saharan Africa. The other malaria species which",What causes overview?,a parasite and does not spread from person to person,184,cause,test
ctx_overview,"Malaria is a life-threatening disease spread to humans by some types of mosquitoes. It is mostly found in tropical countries. It is preventable and curable. The infection is caused by a parasite and does not spread from person to person. Symptoms can be mild or life-threatening. Mild symptoms are fever, chills and headache. Severe symptoms include fatigue, confusion, seizures, and difficulty breathing. Infants, children under 5 years, pregnant women and girls, travellers and people with HIV or AIDS are at higher risk of severe infection. Malaria can be prevented by avoiding mosquito bites and with medicines. Treatments can stop mild cases from getting worse. Malaria mostly spreads to people through the bites of some infected female Anopheles mosquitoes. Blood transfusion and contaminated needles may also transmit malaria. The first symptoms may be mild, similar to many febrile illnesses, and difficulty to recognize as malaria. Left untreated, P. falciparum malaria can progress to severe illness and death within 24 hours. There are 5 Plasmodium parasite species that cause malaria in humans and 2 of these species - P. falciparum and P. vivax - pose the greatest threat. P. falciparum is the deadliest malaria parasite and the most prevalent on the African continent. P. vivax is the dominant malaria parasite in most countries outside of sub-Saharan Africa. The other malaria species which",What are the symptoms of overview?,"fever, chills and headache",298,symptoms,test
ctx_overview,"Malaria is a life-threatening disease spread to humans by some types of mosquitoes. It is mostly found in tropical countries. It is preventable and curable. The infection is caused by a parasite and does not spread from person to person. Symptoms can be mild or life-threatening. Mild symptoms are fever, chills and headache. Severe symptoms include fatigue, confusion, seizures, and difficulty breathing. Infants, children under 5 years, pregnant women and girls, travellers and people with HIV or AIDS are at higher risk of severe infection. Malaria can be prevented by avoiding mosquito bites and with medicines. Treatments can stop mild cases from getting worse. Malaria mostly spreads to people through the bites of some infected female Anopheles mosquitoes. Blood transfusion and contaminated needles may also transmit malaria. The first symptoms may be mild, similar to many febrile illnesses, and difficulty to recognize as malaria. Left untreated, P. falciparum malaria can progress to severe illness and death within 24 hours. There are 5 Plasmodium parasite species that cause malaria in humans and 2 of these species - P. falciparum and P. vivax - pose the greatest threat. P. falciparum is the deadliest malaria parasite and the most prevalent on the African continent. P. vivax is the dominant malaria parasite in most countries outside of sub-Saharan Africa. The other malaria species which",How can overview be prevented?,avoiding mosquito bites and with medicines,572,prevention,test
ctx_symptoms,"The most common early symptoms of malaria are fever, headache and chills. Symptoms usually start within 10-15 days of getting bitten by an infected mosquito. Symptoms may be mild for some people, especially for those who have had a malaria infection before. Because some malaria symptoms are not specific, getting tested early is important. Some types of malaria can cause severe illness and death. Infants, children under 5 years, pregnant women, travellers and people with HIV or AIDS are at higher risk. Severe symptoms include: extreme tiredness and fatigue impaired consciousness multiple convulsions difficulty breathing dark or bloody urine jaundice (yellowing of the eyes and skin) abnormal bleeding. People with severe symptoms should get emergency care right away. Getting treatment early for mild malaria can stop the infection from becoming severe. Malaria infection during pregnancy can also cause premature delivery or delivery of a baby with low birth weight.",What are the symptoms of symptoms?,"not specific, getting tested early is important",292,symptoms,dev
ctx_prevention,"Malaria can be prevented by avoiding mosquito bites and by taking medicines. Talk to a doctor about taking medicines such as chemoprophylaxis before travelling to areas where malaria is common. Lower the risk of getting malaria by avoiding mosquito bites: Use mosquito nets when sleeping in places where malaria is present. Use mosquito repellents (containing DEET, IR3535 or Icaridin) after dusk. Use coils and vaporizers. Wear protective clothing. Use window screens.",How can prevention be prevented?,avoiding mosquito bites and by taking medicines,28,prevention,test
ctx_overview,"Asthma is a chronic lung disease affecting people of all ages. It is caused by inflammation and muscle tightening around the airways, which makes it harder to breathe. Symptoms can include coughing, wheezing, shortness of breath and chest tightness. These symptoms can be mild or severe and can come and go over time. Although asthma can be a serious condition, it can be managed with the right treatment. People with symptoms of asthma should speak to a health professional.",What causes overview?,"inflammation and muscle tightening around the airways, which makes it harder to breathe",79,cause,dev
ctx_impact,"Asthma is often under-diagnosed and under-treated, particularly in low- and middle-income countries. People with under-treated asthma can suffer sleep disturbance, tiredness during the day, and poor concentration. Asthma sufferers and their families may miss school and work, with financial impact on the family and wider community. If symptoms are severe, people with asthma may need to receive emergency health care and they may be admitted to hospital for treatment and monitoring. In the most severe cases, asthma can lead to death.",What are the symptoms of impact?,"severe, people with asthma may need to receive emergency health care and they may be admitted to hospital for treatment and monitoring",349,symptoms,test
ctx_impact,"Asthma is often under-diagnosed and under-treated, particularly in low- and middle-income countries. People with under-treated asthma can suffer sleep disturbance, tiredness during the day, and poor concentration. Asthma sufferers and their families may miss school and work, with financial impact on the family and wider community. If symptoms are severe, people with asthma may need to receive emergency health care and they may be admitted to hospital for treatment and monitoring. In the most severe cases, asthma can lead to death.",What can impact lead to?,death,530,complications,test
ctx_symptoms,"Symptoms of asthma can vary from person to person. Symptoms sometimes get significantly worse. This is known as an asthma attack. Symptoms are often worse at night or during exercise. Common symptoms of asthma include: a persistent cough, especially at night wheezing when exhaling and sometimes when inhaling shortness of breath or difficulty breathing, sometimes even when resting chest tightness, making it difficult to breathe deeply. Some people will have worse symptoms when they have a cold or during changes in the weather. Other triggers can include dust, smoke, fumes, grass and tree pollen, animal fur and feathers, strong soaps and perfume. Symptoms can be caused by other conditions as well. People with symptoms should talk to a healthcare provider.",What causes symptoms?,other conditions as well,679,cause,dev
ctx_symptoms,"Symptoms of asthma can vary from person to person. Symptoms sometimes get significantly worse. This is known as an asthma attack. Symptoms are often worse at night or during exercise. Common symptoms of asthma include: a persistent cough, especially at night wheezing when exhaling and sometimes when inhaling shortness of breath or difficulty breathing, sometimes even when resting chest tightness, making it difficult to breathe deeply. Some people will have worse symptoms when they have a cold or during changes in the weather. Other triggers can include dust, smoke, fumes, grass and tree pollen, animal fur and feathers, strong soaps and perfume. Symptoms can be caused by other conditions as well. People with symptoms should talk to a healthcare provider.",What are the symptoms of symptoms?,often worse at night or during exercise,143,symptoms,dev
ctx_self_care,"People with asthma and their families need education to understand more about their asthma. This includes their treatment options, triggers to avoid, and how to manage their symptoms at home. It is important for people with asthma to know how to increase their treatment when their symptoms are worsening to avoid a serious attack. Healthcare providers may give an asthma action plan to help people with asthma to take greater control of their treatment.",What are the symptoms of self-care?,worsening to avoid a serious attack,295,symptoms,test
ctx_overview,"Anaemia is a condition in which the number of red blood cells or the haemoglobin concentration within them is lower than normal. It mainly affects women and children. Anaemia occurs when there isn't enough haemoglobin in the body to carry oxygen to the organs and tissues. In severe cases, anaemia can cause poor cognitive and motor development in children. It can also cause problems for pregnant women and their babies. Anaemia can be caused by poor nutrition, infections, chronic diseases, heavy menstruation, pregnancy issues and family history. It is often caused by a lack of iron in the blood. Anaemia is preventable and treatable. In many low- and lower-middle income settings, the most commonly- recognized causes of anaemia are iron deficiency and malaria.",What causes overview?,"poor nutrition, infections, chronic diseases, heavy menstruation, pregnancy issues and family history",447,cause,dev
ctx_causes,"Anaemia is diagnosed based on blood haemoglobin concentrations falling below specified thresholds established based on age, sex, and physiological status. It is considered a symptom of an underlying condition(s). Anaemia may be caused by several factors: nutrient deficiencies, inadequate diet (or the inadequate absorption of nutrients), infections, inflammation, chronic diseases, gynaecological and obstetric conditions, and inherited red blood cell disorders. Iron deficiency, primarily due to inadequate dietary iron intake, is considered the most common nutritional deficiency leading to anaemia. Deficiencies in vitamin A, folate, vitamin B12 and riboflavin can also result in anaemia due to their specific roles in the synthesis of haemoglobin and/or erythrocyte production. Additional mechanisms include nutrient losses (e.g. blood loss from parasitic infections, haemorrhage associated with childbirth, or menstrual loss), impaired absorption, low iron stores at birth, and nutrient interactions affecting iron bioavailability. Infections can be another important cause of anaemia, depending on the local burden of infectious diseases, such as malaria, tuberculosis, HIV and parasitic infections. Infections can impair nutrient absorption and metabolism (e.g. malaria, ascariasis) or can cause nutrient loss (e.g. schistosomiasis, hookworm infection). Many different chronic conditions can cause inflammation and lead to anaemia of inflammation or anaemia of chronic disease. HIV infection causes anaemia through a wide range of mechanisms including ineffective production or excessive destruction of red blood cells, blood loss,",What causes causes?,"several factors: nutrient deficiencies, inadequate diet (or the inadequate absorption of nutrients), infections, inflammation, chronic diseases, gynaecological and obstetric conditions, and inherited red blood cell disorders",238,cause,test
ctx_treatment_and_prevention,"The treatment and prevention of anaemia depend on the underlying cause of the condition. There are many effective ways to treat and prevent anaemia. Changes in diet can help reduce anaemia in some cases, including: eating foods that are rich in iron, folate, vitamin B12, vitamin A, and other nutrients eating a healthy diet with a variety of foods taking supplements if a qualified health-care provider recommends them. Other health conditions can cause anaemia. Actions include: prevent and treat malaria prevent and treat schistosomiasis and other infections caused by soil-transmitted helminths (parasitic worms) get vaccinated and practice good hygiene to prevent infections manage chronic diseases like obesity and digestive problems wait at least 24 months between pregnancies and use birth control to prevent unintended pregnancies prevent and treat heavy menstrual bleeding and haemorrhage before or after birth delay umbilical cord clamping after childbirth (not earlier than 1 minute) treat inherited red blood cell disorders like sickle-cell disease and thalassemia.",What causes treatment and prevention?,soil-transmitted helminths (parasitic worms) get vaccinated and practice good hygiene to prevent infections manage chronic diseases like obesity and digestive problems wait at least 24 months between pregnancies and use birth control to prevent unintended pregnancies prevent and treat heavy menstrual bleeding and haemorrhage before or after birth delay umbilical cord clamping after childbirth (not earlier than 1 minute) treat inherited red blood cell disorders like sickle-cell disease and thalassemia,572,cause,dev
ctx_overview,"Nipah virus (NiV) is a zoonotic virus (it is transmitted from animals to humans) and can also be transmitted through contaminated food or directly between people. In infected people, it causes a range of illnesses from asymptomatic (subclinical) infection to acute respiratory illness and fatal encephalitis. The virus can also cause severe disease in animals such as pigs, resulting in significant economic losses for farmers. Although Nipah virus has caused only a few known outbreaks in Asia, it infects a wide range of animals and causes severe disease and death in people, making it a public health concern.",How is overview transmitted?,contaminated food or directly between people,117,transmission,test
ctx_nipah_virus_in_domestic_animals,"Outbreaks of the Nipah virus in pigs and other domestic animals such as horses, goats, sheep, cats and dogs were first reported during the initial Malaysian outbreak in 1999. The virus is highly contagious in pigs. Pigs are infectious during the incubation period, which lasts from 4 to 14 days. An infected pig can exhibit no symptoms, but some develop acute feverish illness, labored breathing, and neurological symptoms such as trembling, twitching and muscle spasms. Generally, mortality is low except in young piglets. These symptoms are not dramatically different from other respiratory and neurological illnesses of pigs. Nipah virus should be suspected if pigs also have an unusual barking cough or if human cases of encephalitis are present. For more information of Nipah in animals, see the webpage on Nipah.",What are the symptoms of nipah virus in domestic animals?,not dramatically different from other respiratory and neurological illnesses of pigs,543,symptoms,dev
ctx_who_response,WHO is supporting affected and at risk countries with technical guidance on how to manage outbreaks of Nipah virus and on how to prevent their occurrence. The risk of international transmission via fruits or fruit products (such as raw date palm juice) contaminated with urine or saliva from infected fruit bats can be prevented by washing them thoroughly and peeling them before consumption. Fruit with signs of bat bites should be discarded.,How can who response be prevented?,washing them thoroughly and peeling them before consumption,332,prevention,test
ctx_plague,"Plague is an infectious disease caused by the bacteria Yersinia pestis, a zoonotic bacteria, usually found in small mammals and their fleas. It is transmitted between animals through fleas. Humans can be infected through: the bite of infected vector fleas unprotected contact with infectious bodily fluids or contaminated materials the inhalation of respiratory droplets/small particles from a patient with pneumonic plague. Plague is a very severe disease in people, particularly in its septicaemic (systemic infection caused by circulating bacteria in bloodstream) and pneumonic forms, with a case-fatality ratio of 30% to 100% if left untreated. The pneumonic form is invariably fatal unless treated early. It is especially contagious and can trigger severe epidemics through person-to-person contact via droplets in the air. Historically, plague was responsible for widespread pandemics with high mortality. It was known as the ""Black Death"" during the fourteenth century, causing more than 50 million deaths in Europe. Nowadays, plague is easily treated with antibiotics and the use of standard precautions to prevent acquiring infection.",What is plague?,"infectious disease caused by the bacteria Yersinia pestis, a zoonotic bacteria, usually found in small mammals and their fleas",13,definition,dev
ctx_plague,"Plague is an infectious disease caused by the bacteria Yersinia pestis, a zoonotic bacteria, usually found in small mammals and their fleas. It is transmitted between animals through fleas. Humans can be infected through: the bite of infected vector fleas unprotected contact with infectious bodily fluids or contaminated materials the inhalation of respiratory droplets/small particles from a patient with pneumonic plague. Plague is a very severe disease in people, particularly in its septicaemic (systemic infection caused by circulating bacteria in bloodstream) and pneumonic forms, with a case-fatality ratio of 30% to 100% if left untreated. The pneumonic form is invariably fatal unless treated early. It is especially contagious and can trigger severe epidemics through person-to-person contact via droplets in the air. Historically, plague was responsible for widespread pandemics with high mortality. It was known as the ""Black Death"" during the fourteenth century, causing more than 50 million deaths in Europe. Nowadays, plague is easily treated with antibiotics and the use of standard precautions to prevent acquiring infection.",What causes plague?,"the bacteria Yersinia pestis, a zoonotic bacteria, usually found in small mammals and their fleas",42,cause,dev
ctx_plague,"Plague is an infectious disease caused by the bacteria Yersinia pestis, a zoonotic bacteria, usually found in small mammals and their fleas. It is transmitted between animals through fleas. Humans can be infected through: the bite of infected vector fleas unprotected contact with infectious bodily fluids or contaminated materials the inhalation of respiratory droplets/small particles from a patient with pneumonic plague. Plague is a very severe disease in people, particularly in its septicaemic (systemic infection caused by circulating bacteria in bloodstream) and pneumonic forms, with a case-fatality ratio of 30% to 100% if left untreated. The pneumonic form is invariably fatal unless treated early. It is especially contagious and can trigger severe epidemics through person-to-person contact via droplets in the air. Historically, plague was responsible for widespread pandemics with high mortality. It was known as the ""Black Death"" during the fourteenth century, causing more than 50 million deaths in Europe. Nowadays, plague is easily treated with antibiotics and the use of standard precautions to prevent acquiring infection.",What is the treatment for plague?,antibiotics and the use of standard precautions to prevent acquiring infection,1064,treatment,dev
ctx_signs_and_symptoms,"People infected with plague usually develop acute febrile disease with other non-specific systemic symptoms after an incubation period of one to seven days, such as sudden onset of fever, chills, head and body aches, and weakness, vomiting and nausea. There are two main forms of plague infection, depending on the route of infection: bubonic and pneumonic. Bubonic plague is the most common form of plague and is caused by the bite of an infected flea. Plague bacillus, Y. pestis, enters at the bite and travels through the lymphatic system to the nearest lymph node where it replicates itself. The lymph node then becomes inflamed, tense and painful, and is called a 'bubo'. At advanced stages of the infection the inflamed lymph nodes can turn into open sores filled with pus. Human to human transmission of bubonic plague is rare. Bubonic plague can advance and spread to the lungs, which is the more severe type of plague called pneumonic plague. Pneumonic plague, or lung-based plague, is the most virulent form of plague. Incubation can be as short as 24 hours. Any person with pneumonic plague may transmit the disease via droplets to other humans. Untreated pneumonic plague, if not diagnosed and treated early, can be fatal. However, recovery rates are high if detected and treated in time (within 24 hours of",What causes signs and symptoms?,the bite of an infected flea,424,cause,test
ctx_overview,"Typhoid fever is a life-threatening infection caused by the bacterium Salmonella Typhi. It is usually spread through contaminated food or water. Once Salmonella Typhi bacteria are ingested, they multiply and spread into the bloodstream. Urbanization and climate change have the potential to increase the global burden of typhoid. In addition, increasing resistance to antibiotic treatment is making it easier for typhoid to spread in communities that lack access to safe drinking water or adequate sanitation.",What causes overview?,the bacterium Salmonella Typhi,56,cause,dev
ctx_overview,"Typhoid fever is a life-threatening infection caused by the bacterium Salmonella Typhi. It is usually spread through contaminated food or water. Once Salmonella Typhi bacteria are ingested, they multiply and spread into the bloodstream. Urbanization and climate change have the potential to increase the global burden of typhoid. In addition, increasing resistance to antibiotic treatment is making it easier for typhoid to spread in communities that lack access to safe drinking water or adequate sanitation.",How is overview transmitted?,contaminated food or water,117,transmission,dev
ctx_symptoms,"Salmonella Typhi lives only in humans. Persons with typhoid fever carry the bacteria in their bloodstream and intestinal tract. Symptoms include prolonged high fever, fatigue, headache, nausea, abdominal pain, and constipation or diarrhoea. Some patients may have a rash. Severe cases may lead to serious complications or even death. Typhoid fever can be confirmed through blood testing.",What are the symptoms of symptoms?,"prolonged high fever, fatigue, headache, nausea, abdominal pain, and constipation or diarrhoea",145,symptoms,test
ctx_symptoms,"Salmonella Typhi lives only in humans. Persons with typhoid fever carry the bacteria in their bloodstream and intestinal tract. Symptoms include prolonged high fever, fatigue, headache, nausea, abdominal pain, and constipation or diarrhoea. Some patients may have a rash. Severe cases may lead to serious complications or even death. Typhoid fever can be confirmed through blood testing.",What can symptoms lead to?,serious complications or even death,297,complications,test
ctx_treatment,"Typhoid fever can be treated with antibiotics. Antimicrobial resistance is common with likelihood of more complicated and expensive treatment options required in the most affected regions. Even when the symptoms go away, people may still be carrying typhoid bacteria, meaning they can spread it to others, through shedding of bacteria in their faeces. It is important for people being treated for typhoid fever to do the following: Take prescribed antibiotics for as long as the doctor has prescribed. Wash their hands with soap and water after using the bathroom and avoid preparing or serving food for other people. This will lower the chance of passing the infection on to someone else. Have their doctor test to ensure that no Salmonella Typhi bacteria remain in their body.",What is the treatment for treatment?,antibiotics,34,treatment,dev
ctx_overview,"Tuberculosis (TB) is an infectious disease caused by bacteria that most often affects the lungs. It spreads through the air when people with TB cough, sneeze or spit. Tuberculosis is preventable and curable. About a quarter of the global population is estimated to have been infected with TB bacteria. About 5-10% of people infected with TB will eventually get symptoms and develop TB disease. Those who are infected but free of disease cannot transmit it. TB disease is usually treated with antibiotics and can be fatal without treatment. In certain countries, the Bacille Calmette-Guérin (BCG) vaccine is given to babies or small children to prevent TB. The vaccine prevents deaths from TB and protects children from serious forms of TB. Certain conditions can increase a person's risk for TB disease: diabetes (high blood sugar) weakened immune system (for example, from HIV or AIDS) being malnourished tobacco use harmful use of alcohol.",What causes overview?,bacteria that most often affects the lungs,53,cause,test
ctx_overview,"Tuberculosis (TB) is an infectious disease caused by bacteria that most often affects the lungs. It spreads through the air when people with TB cough, sneeze or spit. Tuberculosis is preventable and curable. About a quarter of the global population is estimated to have been infected with TB bacteria. About 5-10% of people infected with TB will eventually get symptoms and develop TB disease. Those who are infected but free of disease cannot transmit it. TB disease is usually treated with antibiotics and can be fatal without treatment. In certain countries, the Bacille Calmette-Guérin (BCG) vaccine is given to babies or small children to prevent TB. The vaccine prevents deaths from TB and protects children from serious forms of TB. Certain conditions can increase a person's risk for TB disease: diabetes (high blood sugar) weakened immune system (for example, from HIV or AIDS) being malnourished tobacco use harmful use of alcohol.",What is the treatment for overview?,antibiotics and can be fatal without treatment,492,treatment,test
ctx_treatment,"Tuberculosis disease is treated with special antibiotics. Treatment is recommended for both TB infection and disease. The most common antibiotics used are: isoniazid rifampicin pyrazinamide ethambutol. To be effective, medications need to be taken daily for 4-6 months. It is dangerous to stop the medications early or without medical advice as it can prompt TB bacteria in the body to become resistant to the drugs. TB that doesn't respond to standard drugs is called drug-resistant TB and requires treatment with different medicines.",What is the treatment for treatment?,special antibiotics,37,treatment,dev
ctx_multidrug_resistant_tb_mdr_tb,"Drug resistance emerges when TB medicines are used inappropriately, through incorrect prescription by health care providers, poor quality drugs, or patients stopping treatment prematurely. MDR-TB is a form of TB caused by bacteria that do not respond to isoniazid and rifampicin, the two most effective first-line TB drugs. MDR-TB is treatable and curable by using other drugs, which tend to be more expensive and toxic. In some cases, extensively drug resistant TB or XDR-TB can develop. TB caused by bacteria that do not respond to the most effective drugs in MDR-TB treatment regimens can leave patients with very limited treatment options. MDR-TB remains a public health crisis and a health security threat. Only about 2 in 5 people with multidrug resistant TB accessed treatment in 2023. In accordance with WHO guidelines, detection of MDR-TB requires bacteriological confirmation of TB and testing for drug resistance using rapid molecular tests or culture methods. In 2022, new WHO guidelines prioritized a short 6-month all-oral regimen known as BPaLM/BPaL as a treatment of choice for eligible patients. Globally in 2023, 5646 people with MDR/RR-TB were reported to have been started treatment on the BPaLM/BPaL regimen, up from 1744 in 2022. The shorter duration, lower pill burden and high efficacy of this novel regimen can help ease the burden on health systems and save precious",What causes multidrug-resistant tb (mdr-tb)?,"bacteria that do not respond to isoniazid and rifampicin, the two most effective first-line TB drugs",222,cause,test
